dish,calories (kcal),fat (g),carbohydrates (g),protein (g),timestamp
Waffle (small),150,5,25,4,2025-02-02 10:12:03
"Japanese confectionery (e.g., mochi)",150,5,25,4,2025-02-02 10:12:03
"Sweet Bun (assumed to be a small, possibly mochi-based confection)",200,5,40,3,2025-02-02 10:19:53
"Waffle (small, appears to be a single serving)",250,10,30,7,2025-02-02 10:19:53
Sweet Bun (appears to be a type of Japanese confection),200,8,35,5,2025-02-02 10:32:28
"Waffle (appears to be a small, possibly slightly sweet waffle)",250,10,30,5,2025-02-02 10:32:28
Brown Sugar Mochi,200,8,35,5,2025-02-02 13:07:04
Waffle,250,10,35,5,2025-02-02 13:07:04
Japanese Sweet Treat (assumed to be similar to a mochi),150,5,30,2,2025-02-02 14:53:29
"Waffle (single serving, based on packaged appearance)",300,13,35,10,2025-02-02 14:53:29
Waffle,250,10,45,5,2025-02-02 14:58:38
Mochi,200,8,20,7,2025-02-02 14:58:38
Packaged Waffle,200,8,35,5,2025-02-02 15:08:25
Sweet Bun,200,7,30,5,2025-02-02 15:08:25
Waffle,250,10,40,5,2025-02-02 15:17:07
Sweet Bun,200,8,25,7,2025-02-02 15:17:07
Waffle,250,10,45,5,2025-02-02 15:36:52
Dessert (Likely Mochi),100,5,10,3,2025-02-02 15:36:52
Waffle,250,8,45,5,2025-02-02 15:59:13
Small Dessert (appears to be a pudding or similar),200,10,25,5,2025-02-02 15:59:13
Dish 1,0,0,0,0,2025-03-01 10:45:40
Dish 2,0,0,0,0,2025-03-01 10:45:40
Candy Assortment 1,100,2.5,25,1,2025-03-01 10:52:38
Candy Assortment 2,100,2.5,25,1,2025-03-01 10:52:38
Grilled Chicken Breast (150g),250,10,0,30,2025-03-01 11:00:13
Pasta with Tomato Sauce (200g),500,20,80,10,2025-03-01 11:00:13
Baumkuchen (approx. 100g),250,10,40,5,2025-03-01 13:28:15
Chocolate Bar (approx. 30g),200,10,30,5,2025-03-01 13:28:15
Sponge Cake (Baumkuchen-like),200,10,30,5,2025-03-01 13:30:55
Small Cake,150,5,20,2,2025-03-01 13:30:55
Chocolate Snack Bar,200,10,20,3,2025-03-01 13:30:55
Baumkuchen (approx. 100g),350,15,50,5,2025-03-01 13:38:02
Sponge Cake (approx. 50g),150,5,20,5,2025-03-01 13:38:02
Chocolate Bar (approx. 50g),100,5,10,5,2025-03-01 13:38:02
Packaged Pastry (assumed to be similar to a small sponge cake),200,8,35,3,2025-03-01 14:37:11
Baumkuchen (1 serving),250,12,35,4,2025-03-01 14:47:18
Unidentified Pastry,200,10,25,5,2025-03-01 14:55:26
Langue de Chat Cookies (1 package),200,10,28,3,2025-03-01 15:04:01
Tea Flavored Cookies (approx. 10),400,20,60,8,2025-03-01 15:05:53
Vanilla Pound Cake (approx. 1/4 of a standard cake),200,8,35,5,2025-03-02 09:19:51
Meat Sticks (2 small),200,7,25,10,2025-03-02 09:19:51
Sponge Cake (approx. 70g),200,5,35,5,2025-03-02 10:08:39
Two Small Sausages (approx. 50g),150,10,10,10,2025-03-02 10:08:39
Small Chocolate Snack (approx. 20g),150,10,15,5,2025-03-02 10:08:39
Matcha Cookies (estimated),250,10,35,5,2025-03-02 11:46:54
Chicken Breast (150g),200,5,0,30,2025-03-02 11:55:22
Brown Rice (100g),200,2,40,5,2025-03-02 11:55:22
Steamed Broccoli (100g),250,18,30,5,2025-03-02 11:55:22
